instrument_name,option_type,expiry,strike,days_to_expiry,underlying_price_usd,spot_price,moneyness,abs_moneyness,mark_price_usd,bid_price_usd,ask_price_usd,last_price_usd,market_price_usd,mark_iv,implied_volatility,delta,gamma,vega,theta,open_interest,volume,bid_ask_spread_pct
ETH-17MAY26-2275-C,call,2026-05-17,2275.0,3.049874001041667,2267.11,2267.11,0.003480201666438809,0.003480201666438809,30.152563,28.338875,31.73954,31.73954,30.152563,40.69,0.4069,0.47019,0.00472,0.82446,-5.49972,117.0,171.0,0.11320754716981131
ETH-17MAY26-2275-P,put,2026-05-17,2275.0,3.049874001041667,2267.11,2267.11,0.003480201666438809,0.003480201666438809,37.634026000000006,36.27376,38.540870000000005,44.208645000000004,37.634026000000006,40.69,0.4069,-0.52981,0.00472,0.82446,-5.49972,70.0,72.0,0.06060606060606066
ETH-17MAY26-2250-C,call,2026-05-17,2250.0,3.049874001041667,2267.11,2267.11,-0.00754705329692873,0.00754705329692873,43.07509,41.941535,45.342200000000005,35.140205,43.07509,40.94,0.4094,0.5875,0.00459,0.8068,-5.4152,407.0,487.0,0.077922077922078
ETH-17MAY26-2250-P,put,2026-05-17,2250.0,3.049874001041667,2267.11,2267.11,-0.00754705329692873,0.00754705329692873,25.618343,24.93821,26.071765000000003,24.93821,25.618343,40.94,0.4094,-0.4125,0.00459,0.8068,-5.4152,2506.0,2717.0,0.04444444444444449
ETH-17MAY26-2300-C,call,2026-05-17,2300.0,3.049874001041667,2267.11,2267.11,0.014507456629806237,0.014507456629806237,20.177279000000002,19.270435000000003,21.537545,18.13688,20.177279000000002,40.97,0.4097,0.35725,0.00439,0.77326,-5.19394,60.0,63.0,0.11111111111111105
ETH-17MAY26-2300-P,put,2026-05-17,2300.0,3.049874001041667,2267.11,2267.11,0.014507456629806237,0.014507456629806237,52.823663,51.009975000000004,54.41064,62.345525,52.823663,40.97,0.4097,-0.64275,0.00439,0.77326,-5.19394,2503.0,2504.0,0.064516129032258
ETH-17MAY26-2225-C,call,2026-05-17,2225.0,3.049874001041667,2267.11,2267.11,-0.018574308260296157,0.018574308260296157,59.39828200000001,56.67775,66.879745,55.544195,59.39828200000001,41.6,0.41600000000000004,0.69569,0.00406,0.72519,-4.94559,52.0,52.0,0.16513761467889904
ETH-17MAY26-2225-P,put,2026-05-17,2225.0,3.049874001041667,2267.11,2267.11,-0.018574308260296157,0.018574308260296157,17.003325,15.86977,18.13688,21.537545,17.003325,41.6,0.41600000000000004,-0.30431,0.00406,0.72519,-4.94559,35.0,37.0,0.13333333333333336
ETH-17MAY26-2325-C,call,2026-05-17,2325.0,3.049874001041667,2267.11,2267.11,0.025534711593173665,0.025534711593173665,13.149238,12.469105,14.736215,15.86977,13.149238,41.46,0.4146,0.25905,0.00377,0.67095,-4.56075,32.0,32.0,0.16666666666666657
ETH-17MAY26-2325-P,put,2026-05-17,2325.0,3.049874001041667,2267.11,2267.11,0.025534711593173665,0.025534711593173665,70.733832,63.47908,75.94818500000001,48.742865,70.733832,41.46,0.4146,-0.74095,0.00377,0.67095,-4.56075,1.0,1.0,0.17886178861788626
